Stock ,Day,Month,Year,Open,High,Low,Close
AMZN,17,May,2012,225.050003,226,218.089996,218.360001
AMZN,18,May,2012,219.410004,219.630005,212.809998,213.850006
AMZN,21,May,2012,214.029999,219.979996,212.820007,218.110001
AMZN,22,May,2012,218.309998,218.869995,213.960007,215.330002
AMZN,23,May,2012,214.710007,217.550003,211.179993,217.279999
AMZN,24,May,2012,216.979996,217.660004,212.699997,215.240005
AMZN,25,May,2012,214.990005,215.979996,212.220001,212.889999
AMZN,29,May,2012,214.300003,216.550003,212.289993,214.75
AMZN,30,May,2012,212.139999,212.979996,207.75,209.229996
AMZN,31,May,2012,209.479996,213.789993,207.110001,212.910004
AMZN,1,June,2012,NaN,NaN,NaN,NaN
AMZN,4,June,2012,207.399994,215.350006,206.369995,214.570007
AMZN,5,June,2012,213.850006,216.860001,211.160004,213.210007
AMZN,6,June,2012,214.630005,218.399994,214.520004,217.639999
AMZN,7,June,2012,219.649994,221.490005,218.110001,218.800003
AMZN,8,June,2012,218.610001,219.419998,216.660004,218.479996
AMZN,11,June,2012,NaN,NaN,NaN,NaN
AMZN,12,June,2012,217.649994,218,214.520004,216.419998
AMZN,13,June,2012,215.520004,217.380005,213.520004,214.729996
AMZN,14,June,2012,215.259995,216.5,212.559998,214.449997
AMZN,15,June,2012,215.289993,219.330002,214.460007,218.350006
AMZN,18,June,2012,217.279999,223.759995,216.729996,222.660004
AMZN,19,June,2012,223.259995,225.199997,221.660004,224.029999
AMZN,20,June,2012,224.509995,224.740005,220.839996,223.020004
AMZN,21,June,2012,223.839996,226.029999,220.520004,220.570007
AMZN,22,June,2012,221.830002,222.509995,219.350006,222.160004
AMZN,25,June,2012,220.300003,221.589996,218,220.070007
AMZN,26,June,2012,221.449997,226.389999,221.449997,225.610001
AMZN,27,June,2012,225.009995,227.5,223.300003,225.619995
AMZN,28,June,2012,223.919998,224.619995,218.75,221.309998
AMZN,29,June,2012,224.699997,228.350006,223.710007,228.350006
AMZN,2,July,2012,229.300003,229.339996,226.339996,229.320007
AMZN,3,July,2012,229.139999,229.529999,227.589996,229.529999
AMZN,5,July,2012,228.619995,230.5,226.529999,227.059998
AMZN,6,July,2012,226.350006,228.899994,224.179993,225.050003
AMZN,9,July,2012,225,226,223.449997,225.050003
AMZN,10,July,2012,226.25,227.139999,218.279999,219.5
AMZN,11,July,2012,218.949997,221.740005,215.339996,218.369995
AMZN,12,July,2012,216.610001,217.300003,212.610001,215.360001
AMZN,13,July,2012,215.630005,219.309998,213.880005,218.389999
AMZN,16,July,2012,216.600006,218.309998,214.460007,216.009995
AMZN,17,July,2012,217.449997,217.940002,213.960007,216.929993
AMZN,18,July,2012,216.149994,218.669998,215.710007,217.470001
AMZN,19,July,2012,220.729996,227.5,220.690002,226.169998
AMZN,20,July,2012,225.360001,229.389999,225.289993,228.289993
AMZN,23,July,2012,224.720001,226.580002,221.539993,226.009995
AMZN,24,July,2012,226.270004,226.610001,221.229996,223.039993
AMZN,25,July,2012,222,222.5,215.910004,217.050003
AMZN,26,July,2012,NaN,NaN,NaN,NaN
AMZN,27,July,2012,225.25,238.339996,224.5,237.320007
AMZN,30,July,2012,237,240.740005,234.070007,236.089996
AMZN,31,July,2012,235.100006,236.300003,231.610001,233.300003
AMZN,1,August,2012,234.139999,234.380005,230.699997,232.089996
AMZN,2,August,2012,230.559998,234.339996,228.660004,230.809998
AMZN,3,August,2012,234.029999,236.490005,233.029999,234.970001
AMZN,6,August,2012,235.559998,235.740005,233.809998,233.990005
AMZN,7,August,2012,234.130005,238,233.25,236.559998
AMZN,8,August,2012,NaN,NaN,NaN,NaN
AMZN,9,August,2012,233.929993,235.990005,233.5,234.059998
AMZN,10,August,2012,233.080002,234.850006,231.429993,232.75
AMZN,13,August,2012,232.229996,234.369995,231,232.440002
AMZN,14,August,2012,234.710007,236.720001,232.619995,233.190002
AMZN,15,August,2012,232.259995,238.139999,232.25,237.419998
AMZN,16,August,2012,237.720001,242.820007,236.199997,241.550003
AMZN,17,August,2012,240.600006,243.350006,240.470001,241.169998
AMZN,20,August,2012,241.369995,241.649994,238.199997,240.350006
AMZN,21,August,2012,240.880005,243.850006,238.550003,239.449997
AMZN,22,August,2012,239.399994,244.899994,238.800003,243.100006
AMZN,23,August,2012,242.139999,243.479996,239.020004,241.199997
AMZN,24,August,2012,241.679993,246.869995,241.360001,245.740005
AMZN,27,August,2012,245.789993,247.5,243.119995,243.919998
AMZN,28,August,2012,243.970001,246.779999,243,246.110001
AMZN,29,August,2012,246.779999,247.610001,244.589996,247.119995
AMZN,30,August,2012,246.990005,250,245.25,246.220001
AMZN,31,August,2012,248.070007,249.449997,245.5,248.270004
AMZN,4,September,2012,NaN,NaN,NaN,NaN
AMZN,5,September,2012,247.610001,248.610001,245.300003,246.220001
AMZN,6,September,2012,248.229996,252.699997,247.199997,251.380005
